Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
AAL(02376R102),AMERICAN AIRLINES GROUP INC COM USD0.01,1.00,05/22/2020,10/27/2020,$11.43 ,$10.02 ,$1.41 ,-
AAL(02376R102),AMERICAN AIRLINES GROUP INC COM USD0.01,5.00,05/26/2020,10/27/2020,$57.14 ,$53.75 ,$3.39 ,-
AAPL(037833100),APPLE INC COM USD0.00001,0.40,06/12/20,11/04/20,$46.10 ,$34.34 ,$11.76 ,-
AAPL(037833100),APPLE INC COM USD0.00001,1.00,09/23/2020,11/04/20,$115.24 ,$107.63 ,$7.61 ,-
AAPL(037833100),APPLE INC COM USD0.00001,0.09,09/24/2020,11/04/20,$10.60 ,$9.96 ,$0.64 ,-
AAPL(037833100),APPLE INC COM USD0.00001,0.83,10/26/2020,11/04/20,$95.53 ,$94.90 ,$0.63 ,-
AAPL(037833100),APPLE INC COM USD0.00001,0.68,10/28/2020,11/04/20,$78.25 ,$76.57 ,$1.68 ,-
AAPL(037833100),APPLE INC COM USD0.00001,0.21,10/28/2020,11/04/20,$23.84 ,$23.34 ,$0.50 ,-
AFLYY(009119108),AIR FRANCE-KLM ADR,28.00,09/24/2020,10/28/2020,$94.35 ,$100.26 ,($5.91),-
ALGN(016255101),ALIGN TECHNOLOGY INCCOM USD0.0001,0.63,10/01/20,11/04/20,$305.39 ,$199.89 ,$105.50 ,-
ALGN(016255101),ALIGN TECHNOLOGY INCCOM USD0.0001,0.22,10/26/2020,11/04/20,$106.79 ,$99.91 ,$6.88 ,-
ALV(052800109),AUTOLIV INC COM USD1.00,1.00,11/03/20,11/04/20,$77.89 ,$77.37 ,$0.52 ,-
ALV(052800109),AUTOLIV INC COM USD1.00,0.94,11/03/20,11/04/20,$72.95 ,$72.57 ,$0.38 ,-
AMAT(038222105),APPLIED MATERIALS INC COM USD0.01,2.00,09/23/2020,11/04/20,$128.66 ,$116.66 ,$12.00 ,-
AMC(00165C104),AMC ENTERTAINMENT HOLDINGS INC,21.00,09/28/2020,10/05/20,$89.66 ,$101.13 ,($11.47),-
AMD(007903107),ADVANCED MICRO DEVICES INC,1.00,09/23/2020,11/04/20,$81.14 ,$77.42 ,$3.72 ,-
AMD(007903107),ADVANCED MICRO DEVICES INC,2.00,10/27/2020,11/04/20,$162.28 ,$157.18 ,$5.10 ,-
AMD(007903107),ADVANCED MICRO DEVICES INC,1.00,10/30/2020,11/04/20,$81.13 ,$75.00 ,$6.13 ,-
AMD(007903107),ADVANCED MICRO DEVICES INC,0.33,10/30/2020,11/04/20,$27.01 ,$24.98 ,$2.03 ,-
AMZN(023135106),AMAZON.COM INC,0.09,10/28/2020,11/04/20,$303.60 ,$299.32 ,$4.28 ,-
AMZN(023135106),AMAZON.COM INC,0.03,10/30/2020,11/04/20,$103.35 ,$98.06 ,$5.29 ,-
AMZN(023135106),AMAZON.COM INC,0.05,11/03/20,11/04/20,$161.50 ,$149.23 ,$12.27 ,-
AN(05329W102),AUTONATION INC COM USD0.01,2.00,10/27/2020,11/04/20,$118.35 ,$116.28 ,$2.07 ,-
AN(05329W102),AUTONATION INC COM USD0.01,0.15,10/27/2020,11/04/20,$8.81 ,$8.67 ,$0.14 ,-
